,event,case
0,ao,0
1,k,0
2,k,1
3,ao,1
4,ao,2
5,k,2
6,k,3
7,ao,3
8,k,4
9,ao,4
10,ao,5
11,k,5
12,ao,6
13,k,6
14,ao,7
15,k,7
16,ao,8
17,k,8
18,ao,9
19,k,9
20,k,10
21,ao,10
22,ao,11
23,k,11
24,k,12
25,ao,12
26,ao,13
27,k,13
28,k,14
29,ao,14
30,ao,15
31,k,15
32,k,16
33,ao,16
34,k,17
35,ao,17
36,k,18
37,ao,18
38,ao,19
39,k,19
40,k,20
41,ao,20
42,ao,21
43,k,21
44,ao,22
45,k,22
46,ao,23
47,k,23
48,ao,24
49,k,24
50,ao,25
51,k,25
52,k,26
53,ao,26
54,ao,27
55,k,27
56,ao,28
57,k,28
58,k,29
59,ao,29
60,ao,30
61,k,30
62,ao,31
63,k,31
64,k,32
65,ao,32
66,ao,33
67,k,33
68,k,34
69,ao,34
70,k,35
71,ao,35
72,k,36
73,ao,36
74,k,37
75,ao,37
76,ao,38
77,k,38
78,k,39
79,ao,39
80,ao,40
81,k,40
82,k,41
83,ao,41
84,k,42
85,ao,42
86,k,43
87,ao,43
88,k,44
89,ao,44
90,k,45
91,ao,45
92,ao,46
93,k,46
94,ao,47
95,k,47
96,k,48
97,ao,48
98,ao,49
99,k,49
100,ao,50
101,k,50
102,k,51
103,ao,51
104,k,52
105,ao,52
