,event,case
0,a,0
1,am,0
2,c,0
3,r,0
4,aa,0
5,b,0
6,y,0
7,ab,0
8,i,0
9,h,1
10,a,1
11,f,1
12,u,1
13,k,1
14,n,1
15,ap,1
16,ag,1
17,z,1
18,p,1
19,r,1
20,b,1
21,e,1
22,aa,1
23,i,1
24,ab,1
25,a,2
26,g,2
27,ak,2
28,q,2
29,c,2
30,am,2
31,i,2
32,r,2
33,b,2
34,ab,2
35,aa,2
36,g,3
37,a,3
38,ak,3
39,q,3
40,p,3
41,e,3
42,i,3
43,a,4
44,g,4
45,at,4
46,q,4
47,am,4
48,c,4
49,b,4
50,i,4
51,r,4
52,aa,4
53,ab,4
54,a,5
55,p,5
56,ac,5
57,l,5
58,r,5
59,m,5
60,ae,5
61,i,5
62,b,5
63,aa,5
64,ab,5
65,g,6
66,at,6
67,q,6
68,a,6
69,z,6
70,p,6
71,b,6
72,ab,6
73,y,6
74,r,6
75,i,6
76,aa,6
77,a,7
78,aj,7
79,l,7
80,ac,7
81,m,7
82,ae,7
83,i,7
84,a,8
85,am,8
86,c,8
87,m,8
88,ae,8
89,i,8
90,f,9
91,h,9
92,a,9
93,n,9
94,k,9
95,ag,9
96,v,9
97,ap,9
98,as,9
99,ad,9
100,aj,9
101,y,9
102,i,9
103,g,10
104,ak,10
105,q,10
106,a,10
107,am,10
108,c,10
109,l,10
110,ac,10
111,m,10
112,ae,10
113,i,10
114,a,11
115,c,11
116,am,11
117,r,11
118,aa,11
119,b,11
120,m,11
121,ab,11
122,ae,11
123,i,11
124,a,12
125,am,12
126,c,12
127,b,12
128,ab,12
129,r,12
130,aa,12
131,y,12
132,i,12
133,g,13
134,a,13
135,at,13
136,q,13
137,z,13
138,p,13
139,m,13
140,ae,13
141,i,13
142,f,14
143,ar,14
144,h,14
145,n,14
146,k,14
147,a,14
148,ag,14
149,ap,14
150,aj,14
151,l,14
152,ac,14
153,r,14
154,aa,14
155,b,14
156,y,14
157,ab,14
158,i,14
159,a,15
160,aj,15
161,ac,15
162,l,15
163,m,15
164,ae,15
165,i,15
166,h,16
167,a,16
168,f,16
169,n,16
170,ag,16
171,w,16
172,k,16
173,ap,16
174,c,16
175,am,16
176,b,16
177,r,16
178,aa,16
179,ab,16
180,i,16
181,a,17
182,g,17
183,at,17
184,q,17
185,am,17
186,c,17
187,l,17
188,ac,17
189,m,17
190,ae,17
191,i,17
192,f,18
193,h,18
194,k,18
195,n,18
196,ag,18
197,a,18
198,v,18
199,ap,18
200,as,18
201,ad,18
202,aj,18
203,ac,18
204,l,18
205,e,18
206,i,18
207,a,19
208,c,19
209,am,19
210,ac,19
211,l,19
212,e,19
213,i,19
214,g,20
215,a,20
216,ak,20
217,q,20
218,o,20
219,p,20
220,l,20
221,ac,20
222,i,20
223,a,21
224,z,21
225,p,21
226,l,21
227,ac,21
228,r,21
229,m,21
230,aa,21
231,b,21
232,ab,21
233,ae,21
234,i,21
235,a,22
236,am,22
237,c,22
238,l,22
239,ac,22
240,m,22
241,b,22
242,ae,22
243,r,22
244,i,22
245,ab,22
246,aa,22
247,a,23
248,g,23
249,at,23
250,q,23
251,am,23
252,c,23
253,l,23
254,ac,23
255,e,23
256,b,23
257,r,23
258,i,23
259,ab,23
260,aa,23
261,a,24
262,am,24
263,c,24
264,i,24
265,f,25
266,h,25
267,a,25
268,n,25
269,k,25
270,u,25
271,ag,25
272,ap,25
273,c,25
274,am,25
275,ac,25
276,l,25
277,y,25
278,b,25
279,r,25
280,ab,25
281,i,25
282,aa,25
283,g,26
284,a,26
285,at,26
286,q,26
287,am,26
288,c,26
289,ac,26
290,l,26
291,i,26
292,f,27
293,h,27
294,a,27
295,ar,27
296,k,27
297,n,27
298,ap,27
299,ag,27
300,c,27
301,am,27
302,l,27
303,ac,27
304,b,27
305,m,27
306,r,27
307,ab,27
308,ae,27
309,aa,27
310,i,27
311,f,28
312,a,28
313,k,28
314,w,28
315,h,28
316,n,28
317,ag,28
318,ap,28
319,aj,28
320,l,28
321,ac,28
322,e,28
323,i,28
324,g,29
325,a,29
326,ak,29
327,q,29
328,am,29
329,c,29
330,e,29
331,b,29
332,r,29
333,aa,29
334,i,29
335,ab,29
336,a,30
337,f,30
338,ar,30
339,n,30
340,h,30
341,ag,30
342,k,30
343,ap,30
344,aj,30
345,m,30
346,ae,30
347,i,30
348,a,31
349,g,31
350,ak,31
351,q,31
352,o,31
353,p,31
354,y,31
355,i,31
356,a,32
357,c,32
358,am,32
359,y,32
360,r,32
361,i,32
362,b,32
363,aa,32
364,ab,32
365,a,33
366,z,33
367,p,33
368,r,33
369,m,33
370,b,33
371,aa,33
372,ab,33
373,ae,33
374,i,33
375,a,34
376,f,34
377,k,34
378,n,34
379,h,34
380,ap,34
381,u,34
382,ag,34
383,z,34
384,p,34
385,b,34
386,r,34
387,ab,34
388,i,34
389,aa,34
390,a,35
391,g,35
392,ak,35
393,q,35
394,aj,35
395,r,35
396,b,35
397,ab,35
398,m,35
399,ae,35
400,aa,35
401,i,35
402,a,36
403,h,36
404,f,36
405,ar,36
406,k,36
407,ap,36
408,n,36
409,ag,36
410,o,36
411,p,36
412,y,36
413,i,36
414,a,37
415,g,37
416,at,37
417,q,37
418,aj,37
419,ac,37
420,l,37
421,y,37
422,i,37
423,a,38
424,p,38
425,l,38
426,ac,38
427,e,38
428,r,38
429,b,38
430,ab,38
431,i,38
432,aa,38
433,g,39
434,at,39
435,a,39
436,q,39
437,aj,39
438,e,39
439,i,39
440,f,40
441,h,40
442,n,40
443,a,40
444,k,40
445,ag,40
446,ar,40
447,ap,40
448,aj,40
449,l,40
450,ac,40
451,i,40
452,a,41
453,g,41
454,at,41
455,q,41
456,p,41
457,ac,41
458,l,41
459,i,41
460,f,42
461,k,42
462,h,42
463,a,42
464,n,42
465,ap,42
466,v,42
467,as,42
468,ag,42
469,ad,42
470,aj,42
471,ac,42
472,l,42
473,e,42
474,i,42
475,h,43
476,f,43
477,a,43
478,n,43
479,w,43
480,k,43
481,ag,43
482,ap,43
483,am,43
484,c,43
485,r,43
486,b,43
487,aa,43
488,i,43
489,ab,43
490,a,44
491,g,44
492,at,44
493,q,44
494,am,44
495,c,44
496,i,44
497,a,45
498,aj,45
499,ac,45
500,l,45
501,m,45
