,event,case
0,a,0
1,a,1
2,a,2
3,g,2
4,ak,2
5,q,2
6,g,3
7,a,3
8,ak,3
9,q,3
10,a,4
11,g,4
12,at,4
13,q,4
14,a,5
15,g,6
16,at,6
17,q,6
18,a,6
19,a,7
20,a,8
21,a,9
22,g,10
23,ak,10
24,q,10
25,a,10
26,a,11
27,a,12
28,g,13
29,a,13
30,at,13
31,q,13
32,a,14
33,a,15
34,a,16
35,a,17
36,g,17
37,at,17
38,q,17
39,a,18
40,a,19
41,g,20
42,a,20
43,ak,20
44,q,20
45,a,21
46,a,22
47,a,23
48,g,23
49,at,23
50,q,23
51,a,24
52,a,25
53,g,26
54,a,26
55,at,26
56,q,26
57,a,27
58,a,28
59,g,29
60,a,29
61,ak,29
62,q,29
63,a,30
64,a,31
65,a,32
66,a,33
67,a,34
68,g,34
69,ak,34
70,q,34
71,a,35
72,a,36
73,g,37
74,at,37
75,a,37
76,q,37
77,a,38
78,a,39
79,g,39
80,at,39
81,q,39
82,a,40
83,a,41
84,a,42
85,g,42
86,at,42
87,q,42
88,a,43
89,a,44
90,g,44
91,at,44
92,q,44
93,a,45
94,g,45
95,at,45
96,q,45
97,a,46
98,a,47
99,g,48
100,a,48
101,at,48
102,q,48
103,g,49
104,ak,49
105,q,49
106,a,49
107,a,50
108,a,51
109,a,52
110,a,53
111,g,53
112,at,53
113,q,53
114,a,54
115,a,55
116,a,56
117,a,57
118,g,57
119,at,57
120,q,57
121,a,58
122,a,59
123,g,59
124,ak,59
125,q,59
126,a,60
127,g,60
128,ak,60
129,q,60
130,a,61
131,a,62
132,g,63
133,a,63
134,at,63
135,q,63
136,a,64
137,g,65
138,at,65
139,a,65
140,q,65
141,a,66
142,g,66
143,at,66
144,q,66
145,a,67
146,g,67
147,ak,67
148,q,67
149,a,68
150,a,69
151,a,70
152,a,71
153,a,72
154,a,73
155,a,74
156,a,75
157,a,76
158,a,77
159,g,77
160,ak,77
161,q,77
162,a,78
163,a,79
164,a,80
165,g,80
166,ak,80
167,q,80
168,a,81
169,a,82
170,a,83
171,g,83
172,at,83
173,q,83
174,a,84
175,g,84
176,at,84
177,q,84
178,a,85
179,g,86
180,a,86
181,at,86
182,q,86
183,g,87
184,a,87
185,ak,87
186,q,87
187,a,88
188,a,89
189,a,90
190,g,90
191,at,90
192,q,90
193,a,91
194,a,92
195,a,93
196,g,94
197,a,94
198,at,94
199,q,94
200,a,95
201,g,96
202,at,96
203,a,96
204,q,96
205,a,97
206,a,98
207,a,99
208,a,100
209,g,101
210,a,101
211,at,101
212,q,101
213,g,102
214,a,102
215,ak,102
216,q,102
217,a,103
218,a,104
219,a,105
220,a,106
221,a,107
222,a,108
223,a,109
224,a,110
225,a,111
226,g,111
227,at,111
228,q,111
229,a,112
230,a,113
231,a,114
232,a,115
233,a,116
234,a,117
235,a,118
236,a,119
237,a,120
238,a,121
239,g,121
240,at,121
241,q,121
242,g,122
243,a,122
244,ak,122
245,q,122
246,a,123
247,a,124
248,a,125
249,a,126
250,a,127
251,a,128
252,a,129
253,g,130
254,ak,130
255,a,130
256,q,130
257,a,131
258,g,132
259,at,132
260,a,132
261,q,132
262,a,133
263,a,134
264,a,135
265,a,136
266,a,137
267,g,137
268,at,137
269,q,137
270,a,138
271,a,139
272,a,140
273,a,141
274,a,142
275,a,143
276,g,144
277,a,144
278,ak,144
279,q,144
280,g,145
281,a,145
282,at,145
283,q,145
284,g,146
285,at,146
286,a,146
287,q,146
288,a,147
289,a,148
290,a,149
291,g,149
292,at,149
293,q,149
294,a,150
295,a,151
296,a,152
297,g,152
298,ak,152
299,q,152
300,a,153
301,a,154
302,g,154
303,at,154
304,q,154
305,a,155
306,g,156
307,a,156
308,ak,156
309,q,156
310,a,157
311,g,157
312,at,157
313,q,157
314,g,158
315,ak,158
316,a,158
317,q,158
318,a,159
319,a,160
320,a,161
321,a,162
322,a,163
323,g,164
324,a,164
325,at,164
326,q,164
327,a,165
328,g,166
329,at,166
330,a,166
331,q,166
332,a,167
333,a,168
334,g,169
335,a,169
336,at,169
337,q,169
338,a,170
339,a,171
340,a,172
341,g,173
342,a,173
343,at,173
344,q,173
345,g,174
346,at,174
347,q,174
348,a,174
349,a,175
350,a,176
351,g,177
352,a,177
353,ak,177
354,q,177
355,a,178
356,a,179
357,g,179
358,ak,179
359,q,179
360,a,180
361,a,181
362,a,182
363,a,183
364,g,184
365,a,184
366,at,184
367,q,184
368,a,185
369,g,185
370,at,185
371,q,185
372,a,186
373,g,186
374,ak,186
375,q,186
376,a,187
377,a,188
378,a,189
379,a,190
380,a,191
381,a,192
382,g,192
383,at,192
384,q,192
385,a,193
386,a,194
387,a,195
388,a,196
389,a,197
390,g,197
391,at,197
392,q,197
393,a,198
394,a,199
395,a,200
396,g,200
397,at,200
398,q,200
399,g,201
400,a,201
401,ak,201
402,q,201
403,a,202
404,a,203
405,a,204
406,g,204
407,at,204
408,q,204
409,a,205
410,a,206
411,a,207
412,a,208
413,a,209
414,g,210
415,at,210
416,a,210
417,q,210
418,a,211
419,g,211
420,ak,211
421,q,211
422,g,212
423,ak,212
424,q,212
425,a,212
426,g,213
427,at,213
428,a,213
429,q,213
430,g,214
431,a,214
432,ak,214
433,q,214
434,a,215
435,a,216
436,g,216
437,ak,216
438,q,216
439,a,217
440,g,217
441,ak,217
442,q,217
443,a,218
444,g,219
445,a,219
446,at,219
447,q,219
448,a,220
449,a,221
450,a,222
451,a,223
452,a,224
453,g,225
454,a,225
455,at,225
456,q,225
457,g,226
458,a,226
459,at,226
460,q,226
461,a,227
462,a,228
463,a,229
464,a,230
465,g,230
466,at,230
467,q,230
468,a,231
469,a,232
470,a,233
471,g,234
472,a,234
473,at,234
474,q,234
475,a,235
476,a,236
477,a,237
478,a,238
479,a,239
480,a,240
481,g,241
482,a,241
483,at,241
484,q,241
485,a,242
486,a,243
487,g,243
488,ak,243
489,q,243
490,a,244
491,a,245
492,a,246
493,a,247
494,g,248
495,ak,248
496,a,248
497,q,248
498,a,249
499,a,250
500,g,250
501,ak,250
502,q,250
503,a,251
504,g,251
505,at,251
506,q,251
507,g,252
508,ak,252
509,a,252
510,q,252
511,a,253
