,event,case
0,o,0
1,m$0,0
2,m$0,1
3,n,1
4,o,2
5,r,3
6,ad,3
7,m$0,3
8,n,3
9,r,3
10,r,4
11,r,4
12,m$0,4
13,o,4
14,r,5
15,r,5
16,m$0,5
17,o,6
18,m$0,6
19,r,7
20,o,7
21,r,7
22,m$0,7
23,n,8
24,m$0,8
25,r,8
26,n,9
27,m$0,9
28,m$0,10
29,n,10
30,o,11
31,r,12
32,o,12
33,m$0,12
34,r,13
35,n,13
36,m$0,13
37,ad,13
38,am,14
39,m$0,14
40,ad,14
41,r,14
42,am,15
43,m$0,15
44,m$0,16
45,o,16
46,r,17
47,m$0,17
48,u$1,17
49,r,18
50,r,18
51,o,18
52,m$0,18
53,o,19
54,m$0,19
55,o,20
56,m$0,20
57,r,21
58,n,21
59,m$0,21
60,r,21
61,m$0,22
62,am,22
63,m$0,23
64,n,23
65,u$1,24
66,m$0,24
67,r,25
68,n,25
69,m$0,25
70,r,25
71,r,26
72,o,26
73,m$0,26
74,r,27
75,ad,27
76,r,27
77,m$0,27
78,n,27
79,m$0,28
80,o,28
81,am,29
82,m$0,29
83,r,29
84,n,30
85,m$0,30
86,o,31
87,o,32
88,m$0,32
89,m$0,33
90,am,33
91,m$0,34
92,o,34
93,r,35
94,am,35
95,m$0,35
96,r,35
97,o,36
98,r,37
99,m$0,37
100,n,37
101,ad,37
102,r,38
103,r,38
104,o,38
105,ad,38
106,m$0,38
107,m$0,39
108,r,39
109,o,39
110,r,40
111,am,40
112,m$0,40
113,r,40
114,m$0,41
115,o,41
116,n,42
117,m$0,42
118,o,43
119,m$0,43
120,m$0,44
121,o,44
122,r,45
123,m$0,45
124,ad,45
125,am,45
126,r,46
127,r,46
128,am,46
129,m$0,46
130,o,47
131,m$0,47
132,r,48
133,n,48
134,r,48
135,m$0,48
136,r,49
137,r,49
138,m$0,49
139,o,49
140,r,50
141,o,50
142,r,50
143,m$0,50
144,o,51
145,m$0,51
146,u$1,52
147,m$0,52
148,n,53
149,m$0,53
150,o,54
151,r,55
152,o,55
153,m$0,55
154,r,55
155,r,56
156,m$0,56
157,o,56
158,n,57
159,m$0,57
160,r,58
161,r,58
162,m$0,58
163,n,58
164,o,59
165,m$0,59
166,r,60
167,m$0,60
168,r,60
169,o,60
170,m$0,61
171,n,61
172,r,61
173,r,62
174,o,62
175,r,62
176,m$0,62
177,o,63
178,m$0,63
179,r,63
180,o,64
181,m$0,64
182,r,65
183,r,65
184,o,65
185,m$0,65
