,event,case
0,o,0
1,w,0
2,ak,0
3,ag,0
4,o,1
5,au,1
6,w,1
7,ag,1
8,au,2
9,o,2
10,w,2
11,ag,2
12,ak,3
13,o,3
14,n,4
15,o,4
16,w,5
17,o,5
18,au,5
19,ag,5
20,au,6
21,w,6
22,o,6
23,ag,6
24,n,7
25,o,7
26,m,7
27,o,8
28,m,8
29,o,9
30,au,9
31,w,9
32,m,9
33,ag,9
34,n,10
35,m,10
36,o,11
37,m,12
38,o,12
39,n,12
40,o,13
41,au,13
42,w,13
43,ag,13
44,au,14
45,m,14
46,w,14
47,o,14
48,ag,14
49,ak,15
50,m,15
51,w,15
52,o,15
53,ag,15
54,o,16
55,o,17
56,ak,17
57,w,17
58,ag,17
59,n,18
60,o,18
61,ak,19
62,o,19
63,m,19
64,w,19
65,ag,19
66,n,20
67,o,20
68,m,21
69,w,21
70,ak,21
71,o,21
72,ag,21
73,o,22
74,m,22
75,w,22
76,au,22
77,ag,22
78,w,23
79,o,23
80,ak,23
81,ag,23
82,au,24
83,o,24
84,w,24
85,ag,24
86,m,25
87,o,25
88,n,25
89,o,26
90,n,26
91,m,26
92,o,27
93,ak,27
94,m,27
95,w,27
96,ag,27
97,au,28
98,w,28
99,o,28
100,ag,28
101,au,29
102,m,29
103,w,29
104,o,29
105,ag,29
106,o,30
107,au,30
108,w,30
109,ag,30
110,ak,31
111,m,31
112,w,31
113,o,31
114,ag,31
115,m,32
116,n,32
117,o,32
118,ak,33
119,o,33
120,w,33
121,ag,33
122,m,34
123,n,34
124,o,34
125,w,35
126,o,35
127,ak,35
128,m,35
129,ag,35
130,n,36
131,o,36
132,o,37
133,ak,38
134,m,38
135,w,38
136,o,38
137,ag,38
138,o,39
139,au,39
140,w,39
141,ag,39
142,o,40
143,n,40
144,m,40
145,ak,41
146,w,41
147,ag,41
148,o,41
149,n,42
150,o,42
151,w,43
152,o,43
153,au,43
154,ag,43
155,n,44
156,m,44
157,o,44
158,w,45
159,o,45
160,au,45
161,ag,45
162,o,46
163,n,47
164,o,47
165,o,48
166,m,48
167,m,49
168,o,49
169,w,50
170,au,50
171,ag,50
172,m,50
173,o,50
174,o,51
175,w,51
176,ak,51
177,ag,51
178,m,52
179,o,52
180,au,53
181,o,53
182,w,53
183,ag,53
184,m,54
185,o,55
186,m,55
187,m,56
188,n,56
189,o,56
190,o,57
191,ak,57
192,w,57
193,ag,57
194,o,58
195,n,58
196,m,58
197,o,59
198,m,59
199,n,60
200,o,60
201,o,61
202,n,61
203,o,62
204,o,63
205,w,63
206,m,63
207,ak,63
208,ag,63
209,w,64
210,o,64
211,au,64
212,ag,64
213,o,65
214,w,65
215,au,65
216,ag,65
217,m,66
218,o,66
219,o,67
220,n,67
221,m,68
222,n,68
223,o,68
224,n,69
225,o,69
226,au,70
227,m,70
228,w,70
229,o,70
230,n,71
231,o,71
232,o,72
233,n,72
234,m,73
235,n,73
236,w,74
237,o,74
238,au,74
239,m,74
240,ag,74
241,o,75
242,n,75
243,o,76
244,n,76
245,m,77
246,ak,78
247,w,78
248,ag,78
249,o,78
250,o,79
251,au,79
252,w,79
253,ag,79
254,o,80
255,o,81
256,m,81
257,m,82
258,o,82
259,o,83
260,o,84
261,w,84
262,ak,84
263,ag,84
264,ak,85
265,w,85
266,m,85
267,o,85
268,ag,85
269,w,86
270,au,86
271,ag,86
272,o,86
273,ak,87
274,o,87
275,m,87
276,w,87
277,ag,87
278,o,88
279,n,88
280,n,89
281,au,90
282,m,90
283,o,90
284,w,90
285,ag,90
286,m,91
287,o,91
288,ak,92
289,w,92
290,ag,92
291,o,92
292,n,93
293,m,93
294,o,93
295,w,94
296,o,94
297,au,94
298,ag,94
299,ak,95
300,w,95
301,o,95
302,ag,95
303,o,96
304,n,96
305,o,97
306,w,98
307,au,98
308,o,98
309,ag,98
310,o,99
311,ak,100
312,w,100
313,m,100
314,ag,100
315,o,100
316,m,101
317,n,101
318,o,101
319,o,102
320,o,103
321,m,104
322,o,104
323,w,104
324,au,104
325,n,105
326,o,105
327,m,105
328,m,106
329,o,106
330,n,106
331,w,107
332,o,107
333,ak,107
334,ag,107
335,n,108
336,o,108
337,o,109
338,m,110
339,o,110
340,w,110
341,au,110
342,ag,110
343,o,111
344,o,112
345,n,112
346,m,113
347,o,113
348,w,113
349,ak,113
350,ag,113
351,m,114
352,n,114
353,o,114
354,w,115
355,au,115
356,o,115
357,m,116
358,o,116
359,n,116
360,m,117
361,n,117
362,o,117
363,au,118
364,w,118
365,o,118
366,ag,118
367,o,119
368,ak,119
369,w,119
370,ag,119
371,w,120
372,o,120
373,ak,120
374,ag,120
375,o,121
376,n,121
377,w,122
378,o,122
379,m,122
380,ak,122
381,ag,122
382,ak,123
383,w,123
384,o,123
385,ag,123
386,n,124
387,o,124
388,m,124
389,o,125
390,au,125
391,w,125
392,ag,125
393,w,126
394,ak,126
395,ag,126
396,o,126
397,o,127
398,ak,127
399,w,127
400,n,128
401,o,128
402,m,129
403,n,129
404,o,129
405,w,130
406,au,130
407,o,130
408,m,130
409,ag,130
410,o,131
411,n,131
412,o,132
413,w,133
414,o,133
415,m,133
416,au,133
417,ag,133
418,o,134
419,n,134
420,m,135
421,o,135
422,n,135
423,w,136
424,ak,136
425,ag,136
426,o,136
427,o,137
428,n,137
429,ak,138
430,w,138
431,o,138
432,ag,138
433,ak,139
434,m,139
435,o,139
436,w,139
437,ag,139
438,o,140
439,n,140
440,m,140
441,o,141
442,m,141
443,o,142
444,m,142
445,w,143
446,o,143
447,m,143
448,ak,143
449,ag,143
450,n,144
451,o,144
452,m,144
453,au,145
454,o,145
455,w,145
456,ag,145
457,m,146
458,o,146
459,n,146
460,o,147
461,w,147
462,ak,147
463,ag,147
464,n,148
465,o,148
466,m,149
467,o,149
468,o,150
469,o,151
470,w,151
471,ak,151
472,ag,151
473,n,152
474,o,152
475,m,153
476,o,153
477,n,154
478,o,154
479,n,155
480,m,155
481,o,155
482,ak,156
483,m,157
484,o,157
485,n,158
486,o,158
487,m,158
488,w,159
489,ak,159
490,ag,159
491,n,160
492,o,160
493,ak,161
494,w,161
495,o,161
496,m,161
497,ag,161
498,w,162
499,o,162
500,au,162
501,ag,162
502,ak,163
503,w,163
504,o,163
505,m,163
506,ag,163
507,n,164
508,o,164
509,o,165
510,w,165
511,m,165
512,ak,165
513,ag,165
514,o,166
515,au,166
516,w,166
517,ag,166
518,o,167
519,n,167
520,o,168
521,n,168
522,m,168
523,o,169
524,n,169
525,m,170
526,o,170
527,w,171
528,w,172
529,o,172
530,m,172
531,o,173
532,n,173
533,n,174
534,o,174
535,o,175
536,m,175
537,n,175
538,m,176
539,n,176
540,o,176
541,w,177
542,au,177
543,o,177
544,ag,177
545,o,178
546,n,179
547,o,179
548,o,180
549,n,180
550,o,181
551,ak,181
552,w,181
553,ag,181
554,m,182
555,n,182
556,o,182
557,m,183
558,o,183
559,n,183
560,au,184
561,m,184
562,w,184
563,o,184
564,ag,184
565,o,185
566,w,185
567,ak,185
568,o,186
569,w,187
570,o,187
571,au,187
572,ag,187
573,m,188
574,n,188
575,o,188
576,o,189
577,w,189
578,ak,189
579,ag,189
580,n,190
581,au,191
582,o,191
583,m,191
584,w,191
585,ag,191
586,ak,192
587,o,192
588,m,192
589,w,192
