traceName,alignmentFitness,alignmentCost,moveNr,moveType,processActivity,logActivity,log:attribute:concept:name
"0","1.00000000","40.00000000","0","LMGOOD","s","s",""
"0","1.00000000","40.00000000","1","LMGOOD","o","o",""
"0","1.00000000","40.00000000","2","LMGOOD","TICK","TICK",""
"0","1.00000000","40.00000000","3","LMGOOD","au","au",""
"1","1.00000000","150.00000000","0","LMGOOD","c","c",""
"1","1.00000000","150.00000000","1","LMGOOD","q","q",""
"1","1.00000000","150.00000000","2","LMGOOD","f","f",""
"1","1.00000000","150.00000000","3","LMGOOD","m","m",""
"1","1.00000000","150.00000000","4","LMGOOD","q","q",""
"1","1.00000000","150.00000000","5","LMGOOD","aj","aj",""
"1","1.00000000","150.00000000","6","LMGOOD","aj","aj",""
"1","1.00000000","150.00000000","7","LMGOOD","o","o",""
"1","1.00000000","150.00000000","8","LMGOOD","m","m",""
"1","1.00000000","150.00000000","9","LMGOOD","d","d",""
"1","1.00000000","150.00000000","10","LMGOOD","TICK","TICK",""
"1","1.00000000","150.00000000","11","LMGOOD","TICK","TICK",""
"1","1.00000000","150.00000000","12","LMGOOD","TICK","TICK",""
"1","1.00000000","150.00000000","13","LMGOOD","TICK","TICK",""
"1","1.00000000","150.00000000","14","LMGOOD","TICK","TICK",""
"10","1.00000000","150.00000000","0","LMGOOD","j","j",""
"10","1.00000000","150.00000000","1","LMGOOD","av","av",""
"10","1.00000000","150.00000000","2","LMGOOD","d","d",""
"10","1.00000000","150.00000000","3","LMGOOD","m","m",""
"10","1.00000000","150.00000000","4","LMGOOD","r","r",""
"10","1.00000000","150.00000000","5","LMGOOD","aj","aj",""
"10","1.00000000","150.00000000","6","LMGOOD","TICK","TICK",""
"10","1.00000000","150.00000000","7","LMGOOD","TICK","TICK",""
"10","1.00000000","150.00000000","8","LMGOOD","ap","ap",""
"10","1.00000000","150.00000000","9","LMGOOD","am","am",""
"10","1.00000000","150.00000000","10","LMGOOD","TICK","TICK",""
"10","1.00000000","150.00000000","11","LMGOOD","TICK","TICK",""
"10","1.00000000","150.00000000","12","LMGOOD","m","m",""
"10","1.00000000","150.00000000","13","LMGOOD","TICK","TICK",""
