case,event,z_2,z_1,z_4,z_3,z_6,z_5,z_8,z_7,z_9
0,p,True,0.9804500559999999,True,True,0.031823932,0.720245771,True,False,0.441957816
0,ap,True,0.9804500559999999,True,True,0.031823932,0.720245771,True,False,0.441957816
0,ab,True,0.9804500559999999,True,True,0.031823932,0.720245771,True,False,0.441957816
0,w,True,0.9804500559999999,True,True,0.031823932,0.720245771,True,False,0.441957816
0,g,True,0.9804500559999999,True,True,0.031823932,0.720245771,True,False,0.441957816
0,ar,True,0.9804500559999999,True,True,0.031823932,0.720245771,True,False,0.441957816
0,l,True,0.9804500559999999,True,True,0.031823932,0.720245771,True,False,0.441957816
0,n,True,0.9804500559999999,True,True,0.031823932,0.720245771,True,False,0.441957816
0,ak,True,0.9804500559999999,True,True,0.031823932,0.720245771,True,False,0.441957816
0,m,True,0.9804500559999999,True,True,0.031823932,0.720245771,True,False,0.441957816
0,t,True,0.9804500559999999,True,True,0.031823932,0.720245771,True,False,0.441957816
0,r,True,0.9804500559999999,True,True,0.031823932,0.720245771,True,False,0.441957816
1,b,False,0.12382534699999999,True,True,0.84215655,0.47937568700000005,True,True,0.681339755
1,af,False,0.12382534699999999,True,True,0.84215655,0.47937568700000005,True,True,0.681339755
1,a,False,0.12382534699999999,True,True,0.84215655,0.47937568700000005,True,True,0.681339755
1,ak,False,0.12382534699999999,True,True,0.84215655,0.47937568700000005,True,True,0.681339755
1,c,False,0.12382534699999999,True,True,0.84215655,0.47937568700000005,True,True,0.681339755
1,t,False,0.12382534699999999,True,True,0.84215655,0.47937568700000005,True,True,0.681339755
1,ae,False,0.12382534699999999,True,True,0.84215655,0.47937568700000005,True,True,0.681339755
1,y,False,0.12382534699999999,True,True,0.84215655,0.47937568700000005,True,True,0.681339755
1,am,False,0.12382534699999999,True,True,0.84215655,0.47937568700000005,True,True,0.681339755
1,s,False,0.12382534699999999,True,True,0.84215655,0.47937568700000005,True,True,0.681339755
1,z,False,0.12382534699999999,True,True,0.84215655,0.47937568700000005,True,True,0.681339755
2,f,True,0.788096317,True,True,0.066935875,0.39062448200000005,False,True,0.6678093629999999
2,p,True,0.788096317,True,True,0.066935875,0.39062448200000005,False,True,0.6678093629999999
2,c,True,0.788096317,True,True,0.066935875,0.39062448200000005,False,True,0.6678093629999999
2,s,True,0.788096317,True,True,0.066935875,0.39062448200000005,False,True,0.6678093629999999
2,z,True,0.788096317,True,True,0.066935875,0.39062448200000005,False,True,0.6678093629999999
2,ak,True,0.788096317,True,True,0.066935875,0.39062448200000005,False,True,0.6678093629999999
2,t,True,0.788096317,True,True,0.066935875,0.39062448200000005,False,True,0.6678093629999999
3,f,True,0.580599868,False,True,0.277490859,0.63626039,True,False,0.368756
3,b,True,0.580599868,False,True,0.277490859,0.63626039,True,False,0.368756
3,aa,True,0.580599868,False,True,0.277490859,0.63626039,True,False,0.368756
3,af,True,0.580599868,False,True,0.277490859,0.63626039,True,False,0.368756
3,u,True,0.580599868,False,True,0.277490859,0.63626039,True,False,0.368756
3,ak,True,0.580599868,False,True,0.277490859,0.63626039,True,False,0.368756
3,c,True,0.580599868,False,True,0.277490859,0.63626039,True,False,0.368756
3,t,True,0.580599868,False,True,0.277490859,0.63626039,True,False,0.368756
5,f,False,0.614625525,False,True,0.822424404,0.859799063,False,False,0.861115313
5,b,False,0.614625525,False,True,0.822424404,0.859799063,False,False,0.861115313
5,af,False,0.614625525,False,True,0.822424404,0.859799063,False,False,0.861115313
5,ap,False,0.614625525,False,True,0.822424404,0.859799063,False,False,0.861115313
5,ak,False,0.614625525,False,True,0.822424404,0.859799063,False,False,0.861115313
5,o,False,0.614625525,False,True,0.822424404,0.859799063,False,False,0.861115313
5,ar,False,0.614625525,False,True,0.822424404,0.859799063,False,False,0.861115313
5,x,False,0.614625525,False,True,0.822424404,0.859799063,False,False,0.861115313
5,t,False,0.614625525,False,True,0.822424404,0.859799063,False,False,0.861115313
5,v,False,0.614625525,False,True,0.822424404,0.859799063,False,False,0.861115313
6,f,False,0.941974155,True,False,0.274451672,0.48168202299999996,False,False,0.8798348490000001
6,p,False,0.941974155,True,False,0.274451672,0.48168202299999996,False,False,0.8798348490000001
6,aa,False,0.941974155,True,False,0.274451672,0.48168202299999996,False,False,0.8798348490000001
6,c,False,0.941974155,True,False,0.274451672,0.48168202299999996,False,False,0.8798348490000001
6,u,False,0.941974155,True,False,0.274451672,0.48168202299999996,False,False,0.8798348490000001
6,ak,False,0.941974155,True,False,0.274451672,0.48168202299999996,False,False,0.8798348490000001
6,t,False,0.941974155,True,False,0.274451672,0.48168202299999996,False,False,0.8798348490000001
7,p,True,0.876744555,True,False,0.311079853,0.47604570700000004,False,True,0.8525386690000001
7,ak,True,0.876744555,True,False,0.311079853,0.47604570700000004,False,True,0.8525386690000001
7,c,True,0.876744555,True,False,0.311079853,0.47604570700000004,False,True,0.8525386690000001
7,f,True,0.876744555,True,False,0.311079853,0.47604570700000004,False,True,0.8525386690000001
7,t,True,0.876744555,True,False,0.311079853,0.47604570700000004,False,True,0.8525386690000001
7,u,True,0.876744555,True,False,0.311079853,0.47604570700000004,False,True,0.8525386690000001
7,aa,True,0.876744555,True,False,0.311079853,0.47604570700000004,False,True,0.8525386690000001
8,f,True,0.662689627,False,True,0.11299640300000001,0.696364223,True,False,0.37336695299999995
8,p,True,0.662689627,False,True,0.11299640300000001,0.696364223,True,False,0.37336695299999995
8,o,True,0.662689627,False,True,0.11299640300000001,0.696364223,True,False,0.37336695299999995
8,ap,True,0.662689627,False,True,0.11299640300000001,0.696364223,True,False,0.37336695299999995
8,ak,True,0.662689627,False,True,0.11299640300000001,0.696364223,True,False,0.37336695299999995
8,x,True,0.662689627,False,True,0.11299640300000001,0.696364223,True,False,0.37336695299999995
8,ar,True,0.662689627,False,True,0.11299640300000001,0.696364223,True,False,0.37336695299999995
8,v,True,0.662689627,False,True,0.11299640300000001,0.696364223,True,False,0.37336695299999995
8,t,True,0.662689627,False,True,0.11299640300000001,0.696364223,True,False,0.37336695299999995
9,b,True,0.723859219,False,True,0.8680764609999999,0.672148702,False,True,0.8233636059999999
9,af,True,0.723859219,False,True,0.8680764609999999,0.672148702,False,True,0.8233636059999999
9,f,True,0.723859219,False,True,0.8680764609999999,0.672148702,False,True,0.8233636059999999
9,ap,True,0.723859219,False,True,0.8680764609999999,0.672148702,False,True,0.8233636059999999
9,ar,True,0.723859219,False,True,0.8680764609999999,0.672148702,False,True,0.8233636059999999
9,ak,True,0.723859219,False,True,0.8680764609999999,0.672148702,False,True,0.8233636059999999
9,o,True,0.723859219,False,True,0.8680764609999999,0.672148702,False,True,0.8233636059999999
9,t,True,0.723859219,False,True,0.8680764609999999,0.672148702,False,True,0.8233636059999999
9,x,True,0.723859219,False,True,0.8680764609999999,0.672148702,False,True,0.8233636059999999
9,v,True,0.723859219,False,True,0.8680764609999999,0.672148702,False,True,0.8233636059999999
10,f,False,0.053358345,False,True,0.053977998,0.061235684000000006,False,False,0.203145856
10,b,False,0.053358345,False,True,0.053977998,0.061235684000000006,False,False,0.203145856
10,s,False,0.053358345,False,True,0.053977998,0.061235684000000006,False,False,0.203145856
10,z,False,0.053358345,False,True,0.053977998,0.061235684000000006,False,False,0.203145856
