,event,case
0,s,0
1,o,0
2,p,0
3,au,0
4,s,1
5,o,1
6,au,1
7,p,1
8,s,2
9,o,2
10,au,2
11,a,3
12,au,3
13,p,3
14,a,4
15,p,4
16,au,4
17,a,5
18,a,6
19,p,6
20,au,6
21,s,7
22,o,7
23,p,7
24,au,7
25,a,8
26,p,8
27,au,8
28,s,9
29,o,9
30,p,9
31,au,9
32,s,10
33,o,10
34,a,11
35,au,11
36,p,11
37,a,12
38,p,12
39,au,12
40,s,13
41,o,13
42,p,13
43,au,13
44,a,14
45,au,14
46,p,14
47,a,15
48,s,16
49,o,16
50,au,16
51,a,17
52,a,18
53,au,18
54,s,19
55,o,19
56,au,19
57,p,19
58,a,20
59,au,20
60,p,20
61,a,21
62,p,21
63,au,21
64,s,22
65,o,22
66,p,22
67,au,22
68,a,23
69,a,24
70,au,24
71,p,24
72,a,25
73,au,25
74,p,25
75,s,26
76,o,26
77,p,26
78,au,26
79,s,27
80,o,27
81,p,27
82,au,27
83,a,28
84,p,28
85,au,28
86,s,29
87,o,29
88,au,29
89,p,29
90,a,30
91,au,30
92,a,31
93,au,31
94,p,31
95,a,32
96,au,32
97,p,32
98,s,33
99,o,33
100,p,33
101,au,33
102,a,34
103,s,35
104,o,35
105,au,35
106,p,35
107,f,36
108,ap,36
109,a,37
110,au,37
111,p,37
112,s,38
113,o,38
114,au,38
115,p,38
116,a,39
117,s,40
118,o,40
119,au,40
120,p,40
121,a,41
122,a,42
123,au,42
124,p,42
125,s,43
126,o,43
127,p,43
128,au,43
129,s,44
130,o,44
131,p,44
132,au,44
133,a,45
134,au,45
135,s,46
136,o,46
137,au,46
138,a,47
139,p,47
140,au,47
141,a,48
142,p,48
143,a,49
144,s,50
145,o,50
146,p,50
147,au,50
148,a,51
149,p,51
150,au,51
151,a,52
152,p,52
153,au,52
154,s,53
155,s,54
156,o,54
157,p,54
158,au,54
159,a,55
160,p,55
161,au,55
162,s,56
163,o,56
164,p,56
165,au,56
166,s,57
167,o,57
168,p,57
169,au,57
170,a,58
171,a,59
172,au,59
173,p,59
174,a,60
175,a,61
176,au,61
177,p,61
178,s,62
179,o,62
180,au,62
181,p,62
182,a,63
183,p,63
184,au,63
185,a,64
186,p,64
187,au,64
188,s,65
189,o,65
190,au,65
191,p,65
192,s,66
193,o,66
194,au,66
195,p,66
196,s,67
197,o,67
198,p,67
199,au,67
200,a,68
201,p,68
202,au,68
203,s,69
204,o,69
205,au,69
206,p,69
207,s,70
208,o,70
209,a,71
210,s,72
211,o,72
212,au,72
213,p,72
214,a,73
215,p,73
216,au,73
217,s,74
218,o,74
219,a,75
220,p,75
221,au,75
222,s,76
223,o,76
224,au,76
225,p,76
226,s,77
227,o,77
228,p,77
229,au,77
230,s,78
231,o,78
232,p,78
233,au,78
234,s,79
235,o,79
236,a,80
237,au,80
238,p,80
239,a,81
240,au,81
241,p,81
242,s,82
243,o,82
244,au,82
245,p,82
246,a,83
247,s,84
248,o,84
249,s,85
250,o,85
251,au,85
252,p,85
253,a,86
254,p,86
255,au,86
256,s,87
257,o,87
258,p,87
259,au,87
260,a,88
261,p,88
262,au,88
263,s,89
264,o,89
265,p,89
266,s,90
267,o,90
268,p,90
269,au,90
270,s,91
271,o,91
272,au,91
273,p,91
274,s,92
275,o,92
276,au,92
277,p,92
278,a,93
279,au,93
280,s,94
281,o,94
282,p,94
283,au,94
284,s,95
285,o,95
286,au,95
287,p,95
288,s,96
289,o,96
290,au,96
291,p,96
292,a,97
293,p,97
294,au,97
295,a,98
296,au,98
297,p,98
298,a,99
299,p,99
300,au,99
301,s,100
302,o,100
303,p,100
304,s,101
305,o,101
306,au,101
307,p,101
308,s,102
309,o,102
310,p,102
311,au,102
312,a,103
313,p,103
314,au,103
315,a,104
316,p,104
317,au,104
318,a,105
319,au,105
320,a,106
321,p,106
322,au,106
323,s,107
324,o,107
325,p,107
326,au,107
327,a,108
328,p,108
329,au,108
330,s,109
331,o,109
332,p,109
333,a,110
334,p,110
335,au,110
336,a,111
337,au,111
338,p,111
339,a,112
340,p,112
341,au,112
342,a,113
343,au,113
344,a,114
345,p,114
346,au,114
347,s,115
348,o,115
349,au,115
350,p,115
351,a,116
352,p,116
353,au,116
354,s,117
355,o,117
356,s,118
357,o,118
358,au,118
359,p,118
360,a,119
361,p,119
362,au,119
363,a,120
364,au,120
365,p,120
366,s,121
367,s,122
368,o,122
369,au,122
370,p,122
371,a,123
372,p,123
373,au,123
374,a,124
375,p,124
376,au,124
377,s,125
378,o,125
379,au,125
380,p,125
381,a,126
382,au,126
383,p,126
384,a,127
385,p,127
386,a,128
387,s,129
388,o,129
389,au,129
390,p,129
391,a,130
392,p,130
393,au,130
394,s,131
395,o,131
396,p,131
397,au,131
398,a,132
399,p,132
400,au,132
401,s,133
402,o,133
403,p,133
404,au,133
405,a,134
406,p,134
407,au,134
408,a,135
409,p,135
410,au,135
