,event,case
0,m,0
1,k,0
2,s,1
3,k,1
4,k,2
5,s,2
6,k,3
7,s,3
8,k,4
9,s,4
10,k,5
11,m,5
12,s,6
13,k,6
14,s,7
15,k,7
16,k,8
17,s,8
18,s,9
19,k,9
20,s,10
21,k,10
22,s,11
23,k,11
24,k,12
25,s,12
26,k,13
27,m,13
28,s,14
29,k,14
30,k,15
31,s,15
32,s,16
33,k,16
34,k,17
35,s,17
36,k,18
37,s,18
38,k,19
39,s,19
40,k,20
41,s,20
42,k,21
43,s,21
44,k,22
45,s,22
46,m,23
47,k,23
48,s,24
49,k,24
50,k,25
51,s,25
52,s,26
53,k,26
54,k,27
55,s,27
56,s,28
57,k,28
58,k,29
59,m,29
60,s,30
61,k,30
62,s,31
63,k,31
64,s,32
65,k,32
66,s,33
67,k,33
68,y,34
69,aq,34
70,k,34
71,m,34
72,k,35
73,s,35
74,m,36
75,k,36
76,k,37
77,s,37
78,s,38
79,k,38
80,s,39
81,k,39
82,m,40
83,k,40
84,s,41
85,k,41
86,k,42
87,s,42
88,s,43
89,k,43
90,k,44
91,m,44
92,k,45
93,m,45
94,s,46
95,k,46
96,k,47
97,s,47
98,k,48
99,s,48
100,s,49
101,k,49
102,k,50
103,s,50
104,k,51
105,s,51
106,k,52
107,s,52
108,y,53
109,aq,53
110,k,53
111,s,53
112,s,54
113,k,54
114,k,55
115,s,55
116,s,56
117,k,56
118,k,57
119,m,57
120,y,58
121,aq,58
122,s,58
123,k,58
124,k,59
125,s,59
126,s,60
127,k,60
128,k,61
129,s,61
130,s,62
131,k,62
132,s,63
133,k,63
134,s,64
135,k,64
136,k,65
137,s,65
138,s,66
139,k,66
140,s,67
141,k,67
142,k,68
143,s,68
144,y,69
145,aq,69
146,s,69
147,k,69
148,s,70
149,k,70
150,s,71
151,k,71
152,s,72
153,k,72
154,k,73
155,s,73
156,k,74
157,s,74
158,s,75
159,k,75
160,k,76
161,s,76
162,s,77
163,k,77
164,k,78
165,s,78
166,k,79
167,s,79
168,s,80
169,k,80
170,y,81
171,aq,81
172,k,81
173,s,81
174,k,82
175,s,82
176,k,83
177,s,83
178,s,84
179,k,84
180,k,85
181,s,85
182,s,86
183,k,86
184,k,87
185,s,87
186,k,88
187,s,88
188,k,89
189,s,89
190,s,90
191,k,90
192,k,91
193,s,91
194,k,92
195,s,92
196,k,93
197,s,93
198,y,94
199,aq,94
200,k,94
201,s,94
202,k,95
203,s,95
204,s,96
205,k,96
206,k,97
207,s,97
208,k,98
209,s,98
210,k,99
211,s,99
212,k,100
213,s,100
214,k,101
215,s,101
216,s,102
217,k,102
218,s,103
219,k,103
220,s,104
221,k,104
222,k,105
223,s,105
224,k,106
225,s,106
226,k,107
227,s,107
228,k,108
229,s,108
230,s,109
231,k,109
232,s,110
233,k,110
234,k,111
235,s,111
236,k,112
237,s,112
238,y,113
239,aq,113
240,m,113
241,k,113
242,s,114
243,k,114
244,k,115
245,s,115
246,s,116
247,k,116
248,s,117
249,k,117
250,s,118
251,k,118
252,s,119
253,k,119
254,s,120
255,k,120
256,s,121
257,k,121
258,s,122
259,k,122
260,k,123
261,s,123
262,y,124
263,aq,124
264,k,124
265,s,124
266,s,125
267,k,125
268,k,126
269,s,126
270,m,127
271,k,127
272,m,128
273,k,128
274,k,129
275,s,129
276,s,130
277,k,130
278,k,131
279,s,131
280,k,132
281,s,132
282,s,133
283,k,133
284,s,134
285,k,134
286,s,135
287,k,135
288,s,136
289,k,136
290,k,137
291,s,137
292,s,138
293,k,138
294,s,139
295,k,139
296,s,140
297,k,140
298,m,141
299,k,141
